Group,Category,Menu Item,Gross,Void Qty,Void Amt,Refund Qty,Refund Amt,Option Amt,Discount,PriceLevelAdj,Approx. Tax,Net Qty,Net Sales
,,Nemo Cake Square Red Velvet,120.96,0,0,0,0,0,0,0,0,64,120.96
,,Sugar Bowl Petite Palimiers,213.59,0,0,0,0,0,-0.69,0,0,31,212.9
,,Wow Brownie Tub GF,76.89,0,0,0,0,0,0,0,0,11,76.89
,,Wow Chocolate Chip 2.75Z,23.92,0,0,0,0,0,0,0,0,8,23.92
,,Wow Peanubutter Cookie,10.47,0,0,0,0,0,0,0,0,3,10.47
,,Wow Snickerdoodle 2.75Z,13.96,0,0,0,0,0,0,0,0,4,13.96
,Packaged Baked Goods,---,3058.28,0,0,0,0,0,-6.77,0,---,1052,3051.51
Grocery - Bakery,---,---,7815.53,0,0,0,0,0,-14.35,0,---,1907,7801.18
Grocery - Breakfast,Breakfast Bars,Cinnamon Toast Crunch Bar,41.79,0,0,0,0,0,0,0,0,21,41.79
,,Fiber One Oats and Chocolate,112.89,0,0,0,0,0,-0.25,0,0,71,112.64
,,Golden Grahams Bar Choc Marsh,21.89,0,0,0,0,0,0,0,0,11,21.89
,,Lucky Charms Treat Bar,33.83,0,0,0,0,0,0,0,0,17,33.83
,,NutriGrain Apple Cinnamon,31.5,0,0,0,0,0,0,0,0,21,31.5
,,NutriGrain Blueberry,34.5,0,0,0,0,0,0,0,0,23,34.5
,,NutriGrain Raspberry,30,0,0,0,0,0,0,0,0,20,30
,,NutriGrain Strawberry,36,0,0,0,0,0,0,0,0,24,36
,,Pop-Tarts Blueberry 2Pk,11.55,0,0,0,0,0,0,0,0,7,11.55
,,Pop-Tarts Blueberry Box,8.98,0,0,0,0,0,0,0,0,2,8.98
,,Pop-Tarts Brown Sugar 2Pk,9.9,0,0,0,0,0,0,0,0,6,9.9
,,Pop-Tarts Brown Sugar Box,53.88,0,0,0,0,0,0,0,0,12,53.88
,,Pop-Tarts Cherry Box,8.98,0,0,0,0,0,0,0,0,2,8.98
,,Pop-Tarts Choco Chip 2Pk,6.6,0,0,0,0,0,0,0,0,4,6.6
,,Pop-Tarts Choco Fudge Box,35.92,0,0,0,0,0,-0.25,0,0,8,35.67
,,Pop-Tarts Hot Fudge 2Pk,9.9,0,0,0,0,0,0,0,0,6,9.9
,,Pop-Tarts Raspberry Box,26.94,0,0,0,0,0,0,0,0,6,26.94
